,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
3493,gru,cgr,air france,1963,22,4,55,1
3494,gru,cgr,aeromexico,8163,22,4,55,1
3495,gru,cgr,sa avianca,4637,22,4,55,1
3496,gru,cgr,copa airlines,3579,22,4,55,1
3497,gru,cgr,tap air portugal,4143,22,4,55,1
3498,gru,cgr,gol,1348,22,4,55,1
3499,bsb,cgr,latam airlines,3806,26,4,40,1
3500,gru,cgr,aeromexico,8510,31,4,40,1
3501,gru,cgr,delta air lines,6177,31,4,40,1
3502,gru,cgr,iberia,7031,31,4,40,1
3503,gru,cgr,jet linx aviation,5552,31,4,40,1
3504,gru,cgr,latam airlines,3128,31,4,40,1
3505,cgh,cgr,latam airlines,3176,22,4,50,1
3506,vcp,cgr,azul,2700,22,4,40,1
3507,rec,fen,tap air portugal,6021,27,5,165,1
3508,rec,fen,azul,4718,27,5,165,1
3509,rec,fen,azul,2514,22,5,165,1
3510,gru,cgr,qatar airways,5206,22,5,50,1
3511,gru,cgr,latam airlines,3819,22,5,50,1
3512,gru,cgr,delta air lines,6175,23,5,50,1
3513,gru,cgr,qatar airways,7285,23,5,50,1
3514,gru,cgr,latam airlines,3126,23,5,50,1
3515,cgh,cgr,gol,1476,22,5,50,1
3516,vcp,cgr,azul,4282,30,5,35,1
3517,rec,fen,azul,4255,26,6,165,1
3518,rec,fen,tap air portugal,5262,25,6,165,1
3519,rec,fen,azul,4466,25,6,165,1
3520,gru,cgr,aeromexico,8510,26,6,50,1
3521,gru,cgr,delta air lines,6177,26,6,50,1
3522,gru,cgr,jet linx aviation,5552,26,6,50,1
3523,gru,cgr,latam airlines,3128,26,6,50,1
3524,gru,cgr,american airlines,7700,22,6,55,1
3525,gru,cgr,air france,1963,22,6,55,1
3526,gru,cgr,aeromexico,8163,22,6,55,1
3527,gru,cgr,sa avianca,4637,22,6,55,1
3528,gru,cgr,copa airlines,3579,22,6,55,1
3529,gru,cgr,tap air portugal,4143,22,6,55,1
3530,gru,cgr,gol,1348,22,6,55,1
3531,gru,cgr,aeromexico,8510,22,6,50,1
3532,gru,cgr,delta air lines,6278,22,6,50,1
3533,gru,cgr,jet linx aviation,5552,22,6,50,1
3534,gru,cgr,delta air lines,6177,22,6,50,1
3535,gru,cgr,latam airlines,3128,22,6,50,1
3536,vcp,cgr,azul,2713,35,6,35,1
3537,gru,cgr,delta air lines,7411,22,6,50,1
3538,gru,cgr,iberia,7031,22,6,50,1
3539,gru,cgr,qatar airways,5162,22,6,50,1
3540,gru,cgr,latam airlines,3119,22,6,50,1
3541,vcp,cgr,azul,2713,28,6,35,1
3542,vcp,cgr,azul,4877,28,6,35,1
3543,bsb,cgr,latam airlines,3806,23,6,40,1
3544,gru,cgr,delta air lines,6736,29,6,50,1
3545,gru,cgr,iberia,7031,29,6,50,1
3546,gru,cgr,qatar airways,5162,29,6,50,1
3547,gru,cgr,delta air lines,6306,29,6,50,1
3548,gru,cgr,latam airlines,3119,29,6,50,1
3549,gru,cgr,qatar airways,5206,25,7,50,1
3550,gru,cgr,latam airlines,3819,25,7,50,1
3551,gru,cgr,qatar airways,5206,28,7,50,1
3552,gru,cgr,latam airlines,3819,28,7,50,1
3553,gru,cgr,iberia,7031,22,8,50,1
3554,gru,cgr,qatar airways,5206,22,8,50,1
3555,gru,cgr,latam airlines,3819,22,8,50,1
3556,gru,cgr,qatar airways,5206,22,8,50,1
3557,gru,cgr,iberia,7031,22,8,50,1
3558,gru,cgr,latam airlines,3819,22,8,50,1
3559,cgh,cgr,latam airlines,3176,22,8,50,1
3560,gru,cgr,aeromexico,8510,22,8,50,1
3561,gru,cgr,delta air lines,6177,22,8,50,1
3562,gru,cgr,jet linx aviation,5552,22,8,50,1
3563,gru,cgr,qatar airways,8413,22,8,50,1
3564,gru,cgr,qatar airways,5158,22,8,50,1
3565,gru,cgr,latam airlines,3128,22,8,50,1
3566,cgh,cgr,latam airlines,3176,25,8,50,1
3567,cgh,cgr,latam airlines,4636,30,8,50,1
3568,vcp,cgr,azul,2700,37,8,35,1
3569,rec,fen,azul,4718,27,9,165,1
3570,rec,fen,azul,4255,29,9,165,1
3571,rec,fen,azul,4403,22,9,165,1
3572,rec,fen,azul,4718,22,9,165,1
3573,cgh,cgr,latam airlines,4692,35,9,50,1
3574,bsb,cgr,latam airlines,3806,25,9,40,1
3575,gru,cgr,aeromexico,8510,29,9,45,1
3576,gru,cgr,delta air lines,6177,29,9,45,1
3577,gru,cgr,jet linx aviation,5552,29,9,45,1
3578,gru,cgr,qatar airways,4845,29,9,45,1
3579,gru,cgr,qatar airways,5202,29,9,45,1
3580,gru,cgr,latam airlines,3128,29,9,45,1
3581,cgh,cgr,gol,1476,22,9,50,1
3582,gru,cgr,air france,1908,24,9,50,1
3583,cgh,cgr,latam airlines,3176,22,10,50,1
3584,bsb,cgr,latam airlines,3806,26,10,40,1
3585,rec,fen,azul,4255,29,11,165,1
3586,bsb,cgr,latam airlines,3716,22,11,40,1
3587,gru,cgr,sa avianca,4795,22,11,50,1
3588,gru,cgr,copa airlines,3606,22,11,50,1
3589,gru,cgr,ethiopian airlines,4148,22,11,50,1
3590,gru,cgr,air europa,2371,22,11,50,1
3591,gru,cgr,tap air portugal,4042,22,11,50,1
3592,gru,cgr,gol,1422,22,11,50,1
3593,gru,cgr,aeromexico,8510,22,11,50,1
3594,gru,cgr,delta air lines,6177,22,11,50,1
3595,gru,cgr,iberia,6512,22,11,50,1
3596,gru,cgr,qatar airways,7271,22,11,50,1
3597,gru,cgr,latam airlines,3128,22,11,50,1
3598,gru,cgr,aeromexico,8496,22,11,50,1
3599,gru,cgr,delta air lines,6019,22,11,50,1
